Manufacturer	Model	Type	Engine.Displacement	Cylinders	MPG.city	MPG.highway	MPG.combined	Guzzler	Aspiration	Transmission	Gears	Drive	Fuel.cost
Porsche	Cayenne	Special.Purpose.Vehicle.SUV.4WD	3.6	6	16	23	19	N	Naturally.Aspirated	Semi-Automatic	8	All.Wheel.Drive	3117
Porsche	Cayman	Two.Seaters	2.9	6	20	29	24	N	Naturally.Aspirated	Automatic	7	2-Wheel.Drive.Rear	2471
Porsche	Panamera	Large.Cars	3.6	6	18	27	21	N	Naturally.Aspirated	Automatic	7	2-Wheel.Drive.Rear	2820
Rolls-Royce	Phantom	Large.Cars	6.7	12	11	18	14	Y	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Rear	4230
Rolls-Royce	Phantom.Coupe	Compact.Cars	6.7	12	11	18	14	Y	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Rear	4230
Rolls-Royce	Roush.Stage.3.Mustang	Subcompact.Cars	5.0	8	14	21	16	Y	Supercharged	Manual	6	2-Wheel.Drive.Rear	3703
Saab	9-3.SPORT.SEDAN	Compact.Cars	2.0	4	19	29	23	N	Turbocharged	Semi-Automatic	6	2-Wheel.Drive.Front	1958
Saab	9-4X.AWD	Special.Purpose.Vehicle.SUV.4WD	2.8	6	15	22	18	N	Turbocharged	Semi-Automatic	6	All.Wheel.Drive	3086
Saab	9-5.SEDAN	Midsize.Cars	2.0	4	18	28	22	N	Turbocharged	Semi-Automatic	6	2-Wheel.Drive.Front	2048
Scion	iQ	Minicompact.Cars	1.3	4	36	37	37	N	Naturally.Aspirated	Continuously.Variable	1	2-Wheel.Drive.Front	1498
Scion	tC	Compact.Cars	2.5	4	23	31	26	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	2137
Scion	tC	Compact.Cars	2.5	4	23	31	26	N	Naturally.Aspirated	Manual	6	2-Wheel.Drive.Front	2137
Scion	xB	Small.Station.Wagons	2.4	4	22	28	24	N	Naturally.Aspirated	Semi-Automatic	4	2-Wheel.Drive.Front	2314
Scion	xB	Small.Station.Wagons	2.4	4	22	28	24	N	Naturally.Aspirated	Manual	5	2-Wheel.Drive.Front	2314
Subaru	FORESTER.AWD	Special.Purpose.Vehicle.SUV.4WD	2.5	4	21	27	23	N	Naturally.Aspirated	Semi-Automatic	4	All.Wheel.Drive	2414
Subaru	IMPREZA.AWD	Compact.Cars	2.0	4	27	36	30	N	Naturally.Aspirated	Continuously.Variable	1	All.Wheel.Drive	1848
Subaru	IMPREZA.WAGON/OUTBACK.SPORT.AWD	Small.Station.Wagons	2.0	4	27	36	30	N	Naturally.Aspirated	Continuously.Variable	1	All.Wheel.Drive	1848
Subaru	LEGACY.AWD	Midsize.Cars	2.0	4	23	31	26	N	Naturally.Aspirated	Continuously.Variable	1	All.Wheel.Drive	2137
Subaru	OUTBACK.WAGON.AWD	Special.Purpose.Vehicle.SUV.4WD	2.0	4	22	29	24	N	Naturally.Aspirated	Continuously.Variable	1	All.Wheel.Drive	2314
Subaru	TRIBECA.AWD	Special.Purpose.Vehicle.SUV.4WD	3.6	6	16	21	18	N	Naturally.Aspirated	Semi-Automatic	5	All.Wheel.Drive	3086
SUZUKI	Equator.2WD	Small.Pick-up.Trucks.2WD	2.5	4	17	22	19	N	Naturally.Aspirated	Automatic	5	2-Wheel.Drive.Rear	2919
SUZUKI	Equator.4WD	Small.Pick-up.Trucks.4WD	4.0	6	15	19	16	N	Naturally.Aspirated	Automatic	5	4-Wheel.Drive	3469
Suzuki	GRAND.VITARA	Special.Purpose.Vehicle.SUV.2WD	2.4	4	19	25	21	N	Naturally.Aspirated	Automatic	4	2-Wheel.Drive.Rear	2642
Suzuki	KIZASHI	Compact.Cars	2.4	4	23	30	26	N	Naturally.Aspirated	Continuously.Variable	1	2-Wheel.Drive.Front	2137
Suzuki	SX4	Small.Station.Wagons	2.0	4	23	30	26	N	Naturally.Aspirated	Continuously.Variable	1	2-Wheel.Drive.Front	2137
Toyota	CAMRY	Midsize.Cars	2.5	4	25	35	28	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	1981
Toyota	FJ.CRUISER.2WD	Special.Purpose.Vehicle.SUV.2WD	4.0	6	17	20	19	N	Naturally.Aspirated	Automatic	5	2-Wheel.Drive.Rear	2919
